w_c,w_s,p,r_in,h,n_rings,r_out,gamma_eff,bias_g05,bias_g50,bias_g90,solve_s
0.4,1.2,1.6,4.0,0.2,52,9.0,0.8,1.7738187840787845e-07,1.7180642980174632e-05,0.007771177281113095,2.4
0.4,1.2,1.6,5.0,0.2,52,10.0,0.85,1.5778003081834413e-07,2.129007354567669e-05,0.0012682299061452795,2.7
0.4,1.2,1.6,6.0,0.2,52,11.0,0.85,5.997855705430766e-07,3.105036119810389e-05,0.0011556941414978539,3.1
0.4,1.2,1.6,7.0,0.2,52,12.0,0.85,5.995975385086894e-07,4.433231557199324e-05,0.0013279896498792354,3.5
0.4,1.2,1.6,8.0,0.2,52,13.0,0.9,6.269668606506684e-07,5.7471248336216085e-05,0.0003238287206230872,4.0
0.4,1.2,1.6,9.0,0.2,52,14.0,0.9,6.870715792972604e-07,7.64655341094489e-05,3.202703659788142e-05,4.5
0.4,1.2,1.6,10.0,0.2,52,15.0,0.9,7.956922215557327e-07,0.00011386113072697768,2.1179230826007256e-05,5.2
0.4,1.6,2.0,3.0,0.2,41,8.0,0.75,3.1472428707601807e-07,4.455649954215879e-06,0.042231831346563276,1.4
0.4,1.6,2.0,4.0,0.2,41,9.0,0.8,1.915551700593099e-07,1.3755380368407621e-05,0.009048971707010356,1.9
0.4,1.6,2.0,5.0,0.2,41,10.0,0.85,1.739336694672744e-07,2.3803165536073756e-05,0.002055425256260124,2.1
0.4,1.6,2.0,6.0,0.2,41,11.0,0.85,6.572137075666618e-07,3.379618644927529e-05,0.0024174282138216263,2.6
0.4,1.6,2.0,7.0,0.2,41,12.0,0.85,6.563215135813039e-07,4.8678752555653126e-05,0.001836101679003832,2.7
0.4,1.6,2.0,8.0,0.2,41,13.0,0.9,6.878003269150668e-07,6.313034586102884e-05,0.0006537069054906031,3.2
0.4,1.6,2.0,9.0,0.2,41,14.0,0.9,7.584355200540571e-07,8.452078132858976e-05,0.00015745044011228337,3.5
0.4,1.6,2.0,10.0,0.2,41,15.0,0.9,8.880371278330301e-07,0.00012723091487787386,4.9099782049033536e-06,3.9
0.4,2.4,2.8,3.0,0.2,30,8.6,0.75,1.2798833135541088e-06,5.9421162181161336e-05,0.00732111313274908,1.4
0.4,2.4,2.8,4.0,0.2,30,9.6,0.8,4.080646377468966e-07,6.900428417588866e-05,0.006815814304232504,1.6
0.4,2.4,2.8,5.0,0.2,30,10.6,0.85,2.1606498534776364e-07,5.2698531832318096e-05,0.006771439870365326,1.7
0.4,2.4,2.8,6.0,0.2,30,11.6,0.85,7.248109185065132e-07,4.227150969782212e-05,0.0020473407444014935,2.0
0.4,2.4,2.8,7.0,0.2,30,12.6,0.85,7.033809861223261e-07,5.3104543885296174e-05,0.0023510435185440937,2.4
0.4,2.4,2.8,8.0,0.2,30,13.6,0.85,7.249926584629307e-07,6.64918733929154e-05,0.001082030752842078,2.7
