w_c,w_s,p,r_in,h,n_rings,r_out,gamma_eff,bias_g05,bias_g50,bias_g90,solve_s
1.0,1.2,2.2,7.0,0.25,38,12.0,0.8,5.981047884739965e-07,0.00012375781787976603,0.006279753645457964,1.6
1.0,1.2,2.2,8.0,0.25,38,13.0,0.85,1.2137039142601225e-06,8.123199774490164e-05,0.006323773431567314,1.8
1.0,1.2,2.2,9.0,0.25,38,14.0,0.85,1.1919201947652169e-07,3.377126696602062e-05,0.0013742168018715528,2.1
1.0,1.2,2.2,10.0,0.25,38,15.0,0.85,1.2509701826646236e-06,0.00011667609601095918,0.0015258790531438304,2.3
1.0,1.6,2.6,3.0,0.25,32,8.2,0.5,5.572272585574467e-07,0.0004193182540703777,0.13631764360682963,0.7
1.0,1.6,2.6,4.0,0.25,32,9.2,0.65,2.8319365084072956e-06,0.00030984771154463076,0.033175859923337825,1.0
1.0,1.6,2.6,5.0,0.25,32,10.2,0.75,1.0031222191786426e-06,0.00010117078437454907,0.029500147085684603,1.1
1.0,1.6,2.6,6.0,0.25,32,11.2,0.75,2.1829593133126934e-07,5.187149350716069e-06,0.028806655142362914,1.3
1.0,1.6,2.6,7.0,0.25,32,12.2,0.8,2.545381390106627e-07,4.704152938395101e-05,0.008357570411650528,1.3
1.0,1.6,2.6,8.0,0.25,32,13.2,0.85,4.656881646969424e-07,2.1879057928497758e-05,0.007775503178239607,1.5
1.0,1.6,2.6,9.0,0.25,32,14.2,0.8,9.039879063088563e-07,4.5876310237003004e-05,0.0027399186145484755,1.7
1.0,1.6,2.6,10.0,0.25,32,15.2,0.9,1.7507791671977913e-06,0.00020298642882676798,0.0009561774087067931,1.8
1.0,2.4,3.4,3.0,0.25,25,9.8,0.45,1.112313081264027e-05,0.0012518850496689993,0.12302093754328869,0.7
1.0,2.4,3.4,4.0,0.25,25,10.8,0.55,2.831238771205946e-06,0.0004098155778109458,0.03209385930696507,0.8
1.0,2.4,3.4,5.0,0.25,25,11.8,0.7,5.327425486312265e-07,7.257499128765499e-05,0.026526822991982835,0.9
1.0,2.4,3.4,6.0,0.25,25,12.8,0.8,8.704343303911344e-07,0.00015148215609850357,0.022989585360868148,1.1
1.0,2.4,3.4,7.0,0.25,25,13.8,0.8,8.045018140556692e-07,0.00016704244637744114,0.007817037420208894,1.2
1.0,2.4,3.4,8.0,0.25,25,14.8,0.8,9.043212777504195e-07,5.331198741065357e-05,0.00918393402353801,1.3
1.0,2.4,3.4,9.0,0.25,25,15.8,0.8,8.282421877225943e-07,0.00010853861356996397,0.004970321164703639,1.4
1.0,2.4,3.4,10.0,0.25,25,16.8,0.8,2.0507996878471602e-07,6.289295387862381e-05,0.006062844645371213,1.6
1.2,0.4,1.6,3.0,0.2,52,8.0,0.6,2.3823481076767905e-07,4.148810603088471e-05,0.4462312060743143,1.1
1.2,0.4,1.6,4.0,0.2,52,9.0,0.7,1.4654944224812283e-07,9.262833089440647e-06,0.08623609117017206,1.8
1.2,0.4,1.6,5.0,0.2,52,10.0,0.75,1.3385735386783892e-07,1.677107964115354e-05,0.020074207394692678,2.1
1.2,0.4,1.6,6.0,0.2,52,11.0,0.8,5.150611994686471e-07,2.626183920717562e-05,0.019764225744330455,2.6
1.2,0.4,1.6,7.0,0.2,52,12.0,0.8,5.202595080300298e-07,3.8305525985826705e-05,0.018682055823608934,2.9
1.2,0.4,1.6,8.0,0.2,52,13.0,0.85,5.490431168597709e-07,5.019255993732319e-05,0.003583915559822737,3.5
1.2,0.4,1.6,9.0,0.2,52,14.0,0.9,6.068000395487161e-07,6.737312962246111e-05,0.00021708203812398352,3.7
1.2,0.4,1.6,10.0,0.2,52,15.0,0.9,7.082188585583182e-07,0.00010111724328898397,2.0682819621198334e-05,4.6
1.2,0.5,1.7,3.0,0.25,49,8.0,0.6,6.75871443878151e-06,0.00040291720087504146,0.22829001605632415,0.7
1.2,0.5,1.7,4.0,0.25,49,9.0,0.7,6.347592669264657e-07,2.220043613965217e-05,0.03503902510209289,0.9
1.2,0.5,1.7,5.0,0.25,49,10.0,0.75,1.8966435377798518e-07,5.2030495845123426e-06,0.032048860246575384,1.1
1.2,0.5,1.7,6.0,0.25,49,11.0,0.8,5.636276481091329e-07,0.00013974342146116925,0.034253854969768405,1.3
1.2,0.5,1.7,7.0,0.25,49,12.0,0.85,5.531211396681002e-07,0.00013356923854124236,0.00627604301948792,1.5
1.2,0.5,1.7,8.0,0.25,49,13.0,0.85,7.524981150419663e-07,3.3873655997607166e-05,0.006922039895484788,1.7
1.2,0.5,1.7,9.0,0.25,49,14.0,0.85,4.7640090927725254e-07,8.465070928664886e-06,0.0018280613001016022,2.2
1.2,0.5,1.7,10.0,0.25,49,15.0,0.8,1.5274787221741803e-06,0.0001920496507744618,0.0008851086409118469,2.6
1.2,0.8,2.0,3.0,0.25,41,8.0,0.6,1.199615697888845e-07,0.00017039625032855277,0.23008307945104556,0.6
1.2,0.8,2.0,4.0,0.25,41,9.0,0.7,2.531090019797233e-07,5.907995565213042e-06,0.04235189503635084,0.8
1.2,0.8,2.0,5.0,0.25,41,10.0,0.75,2.282649560481076e-07,2.0472902759194334e-05,0.04096091091646059,0.9
1.2,0.8,2.0,6.0,0.25,41,11.0,0.8,2.1908929914715713e-07,2.886528534762345e-05,0.040062334950325074,1.1
1.2,0.8,2.0,7.0,0.25,41,12.0,0.8,2.2121111620254652e-07,3.9679718486285154e-05,0.008669642705396718,1.3
1.2,0.8,2.0,8.0,0.25,41,13.0,0.85,9.351608103447262e-07,5.48059922111932e-05,0.008477061074068093,1.8
1.2,0.8,2.0,9.0,0.25,41,14.0,0.85,1.0401061849574234e-06,7.711243414565416e-05,0.0017426227573085207,1.9
1.2,0.8,2.0,10.0,0.25,41,15.0,0.85,1.2272081504338672e-06,0.00011228618841518934,0.0016147653932327977,2.2
1.2,1.0,2.2,3.0,0.25,38,8.0,0.5,3.493891671535465e-07,0.00030625925372129714,0.22917957739787975,0.6
1.2,1.0,2.2,4.0,0.25,38,9.0,0.65,1.8632284293218504e-06,0.00018552402695948267,0.046077039825777044,0.8
1.2,1.0,2.2,5.0,0.25,38,10.0,0.75,1.6595189722412584e-07,1.2257838614693206e-05,0.044977104043919525,0.9
1.2,1.0,2.2,6.0,0.25,38,11.0,0.75,8.911405413591922e-08,5.551370042899961e-05,0.04550727406570587,1.1
1.2,1.0,2.2,7.0,0.25,38,12.0,0.8,1.97744599139682e-07,3.2926108658348774e-05,0.01068344153848888,1.2
1.2,1.0,2.2,8.0,0.25,38,13.0,0.8,7.828926212871679e-07,2.864535306368321e-05,0.011258197929694624,1.7
1.2,1.0,2.2,9.0,0.25,38,14.0,0.85,9.862031773444357e-07,6.806038188311714e-05,0.0027519344708804017,1.9
1.2,1.0,2.2,10.0,0.25,38,15.0,0.85,1.1693960555447802e-06,0.00010415640853123076,0.0024484283533650064,2.2
1.2,1.2,2.4,3.0,0.25,35,8.0,0.5,2.827093514845558e-07,0.0004417708107049556,0.22654749267857177,0.7
1.2,1.2,2.4,4.0,0.25,35,9.0,0.65,1.882363312555313e-06,0.00020148073732673133,0.04878479568515681,0.8
1.2,1.2,2.4,5.0,0.25,35,10.0,0.7,8.407034770563371e-07,0.00011247657624480212,0.048072138405178766,0.9
1.2,1.2,2.4,6.0,0.25,35,11.0,0.75,5.71559771844754e-07,7.43044627888878e-05,0.04554560879401914,1.1
1.2,1.2,2.4,7.0,0.25,35,12.0,0.8,7.970946117596966e-07,0.0001812668806060458,0.011311168406289429,1.2
1.2,1.2,2.4,8.0,0.25,35,13.0,0.8,3.5896192640549884e-07,6.388145104563314e-05,0.012995558906697235,1.6
1.2,1.2,2.4,9.0,0.25,35,14.0,0.8,3.038697027335502e-07,7.099199787830024e-05,0.004504846010698671,1.8
1.2,1.2,2.4,10.0,0.25,35,15.0,0.85,1.8505369822063855e-06,0.00020413088806292556,0.0027150894508651824,2.0
1.2,1.6,2.8,3.0,0.25,30,8.6,0.5,4.662334126548373e-06,0.0009243713480315829,0.21420870484893273,0.6
1.2,1.6,2.8,4.0,0.25,30,9.6,0.65,6.087472055327225e-07,7.596907820373033e-06,0.048035549003696554,0.7
1.2,1.6,2.8,5.0,0.25,30,10.6,0.7,6.945728261431583e-07,9.68012558109077e-05,0.046336438184248596,0.8
1.2,1.6,2.8,6.0,0.25,30,11.6,0.75,4.974496328191691e-07,8.932586705323597e-05,0.04479062762143737,0.9
1.2,1.6,2.8,7.0,0.25,30,12.6,0.75,1.208911488692621e-07,7.103673787201004e-05,0.014836456934228304,1.3
1.2,1.6,2.8,8.0,0.25,30,13.6,0.8,6.547404206580509e-07,3.784439056886413e-05,0.014181399765917257,1.4
1.2,1.6,2.8,9.0,0.25,30,14.6,0.8,9.454527397645407e-07,5.471250733857236e-05,0.0055956242156243174,1.7
1.2,1.6,2.8,10.0,0.25,30,15.6,0.85,1.4250848329178112e-06,0.0001295659316955522,0.005547037755043505,1.8
1.2,2.4,3.5999999999999996,3.0,0.25,24,10.2,0.45,1.6259219638437017e-05,0.001931255600322146,0.18739127364284203,0.6
1.2,2.4,3.5999999999999996,4.0,0.25,24,11.2,0.65,4.068897253017845e-06,5.207357310177407e-05,0.04533523419937713,0.7
1.2,2.4,3.5999999999999996,5.0,0.25,24,12.2,0.65,4.873506214142509e-07,8.247425421847865e-05,0.04657256471918836,1.0
1.2,2.4,3.5999999999999996,6.0,0.25,24,13.2,0.65,1.8817680207394716e-06,0.0003446110261904334,0.04773753126688396,1.1
1.2,2.4,3.5999999999999996,7.0,0.25,24,14.2,0.75,1.6184633122584557e-07,2.724133193465761e-05,0.018188325064296018,1.3
1.2,2.4,3.5999999999999996,8.0,0.25,24,15.2,0.75,1.0532513339267524e-06,2.8663645044391117e-05,0.019047987707645042,1.4
1.2,2.4,3.5999999999999996,9.0,0.25,24,16.2,0.8,4.185774809761789e-06,0.000341436644668458,0.005015846150390857,1.5
1.2,2.4,3.5999999999999996,10.0,0.25,24,17.2,0.6,4.738040564888912e-06,0.0005878152090638133,0.00024523229164286064,1.7
1.6,0.4,2.0,3.0,0.2,41,8.0,0.55,3.910533639128744e-07,0.0007079986024309814,0.7512026758809092,0.9
1.6,0.4,2.0,4.0,0.2,41,9.0,0.65,1.7525773865489924e-07,1.3424584326182654e-05,0.1730579299063062,1.1
1.6,0.4,2.0,5.0,0.2,41,10.0,0.7,1.3611463944851465e-07,1.4650582354058805e-05,0.05053826460377597,1.5
1.6,0.4,2.0,6.0,0.2,41,11.0,0.75,5.274722554293731e-07,2.8110290856253606e-05,0.04715292636627422,1.9
1.6,0.4,2.0,7.0,0.2,41,12.0,0.8,5.333293590092936e-07,3.894512060986788e-05,0.04878514133977663,2.5
1.6,0.4,2.0,8.0,0.2,41,13.0,0.85,5.658325135105002e-07,5.1789096282450764e-05,0.013088369396489163,2.7
1.6,0.4,2.0,9.0,0.2,41,14.0,0.85,6.312267770702817e-07,7.006879282711598e-05,0.004573477811107063,3.2
1.6,0.4,2.0,10.0,0.2,41,15.0,0.85,7.472860901192035e-07,0.000106696882075763,0.0031325734924136928,3.9
1.6,0.5,2.1,3.0,0.25,40,8.0,0.5,5.877188463898619e-06,0.0008995032760936716,0.44371747123367444,0.6
1.6,0.5,2.1,4.0,0.25,40,9.0,0.65,6.60581439104746e-07,6.8419183289814e-05,0.08478591429223914,0.8
1.6,0.5,2.1,5.0,0.25,40,10.0,0.7,2.891131911653133e-07,1.371049080656217e-05,0.08577752127083516,1.0
1.6,0.5,2.1,6.0,0.25,40,11.0,0.75,6.118957178724571e-07,7.73369754670794e-05,0.08418647445873728,1.1
1.6,0.5,2.1,7.0,0.25,40,12.0,0.8,6.833321375410151e-08,1.5458282910052468e-05,0.01864816707041772,1.3
1.6,0.5,2.1,8.0,0.25,40,13.0,0.75,4.5113436986099487e-08,4.8602153829069294e-05,0.02336664647637221,1.6
1.6,0.5,2.1,9.0,0.25,40,14.0,0.85,1.6045279208620755e-06,0.00016360507489321385,0.0019058623125756124,1.8
1.6,0.5,2.1,10.0,0.25,40,15.0,0.85,1.281310918033185e-06,0.0001260279358816785,0.006684649859869163,2.0
1.6,0.8,2.4000000000000004,3.0,0.25,35,8.0,0.5,1.8566935323649503e-06,0.0008446752183215445,0.4430614662999115,0.6
1.6,0.8,2.4000000000000004,4.0,0.25,35,9.0,0.55,4.830621305851324e-06,0.0005544186008863417,0.10503433681638308,0.7
1.6,0.8,2.4000000000000004,5.0,0.25,35,10.0,0.7,8.911275258816076e-07,6.860513071083041e-05,0.10164925889013077,0.9
1.6,0.8,2.4000000000000004,6.0,0.25,35,11.0,0.7,3.5820677313225247e-07,0.00013289507784697285,0.09984253306639213,1.0
1.6,0.8,2.4000000000000004,7.0,0.25,35,12.0,0.8,5.67479795599013e-07,0.00016760506977819833,0.02245138170740346,1.1
1.6,0.8,2.4000000000000004,8.0,0.25,35,13.0,0.75,1.6912287681414284e-08,7.320905007524026e-05,0.029422271945503287,1.4
1.6,0.8,2.4000000000000004,9.0,0.25,35,14.0,0.8,8.097214854174695e-07,8.684632824651484e-05,0.00847583554424447,1.6
1.6,0.8,2.4000000000000004,10.0,0.25,35,15.0,0.8,1.1669967103777878e-06,7.754830408035485e-05,0.010054030314073925,1.8
1.6,1.0,2.6,3.0,0.25,32,8.2,0.45,1.4273444852275219e-05,0.0020757229835772772,0.4572428958912802,0.6
1.6,1.0,2.6,4.0,0.25,32,9.2,0.55,1.3297782761600985e-06,3.6657373976733965e-05,0.10422116514281243,0.7
1.6,1.0,2.6,5.0,0.25,32,10.2,0.7,1.7352106507217968e-07,4.1939555450842825e-05,0.0982065490133095,0.9
1.6,1.0,2.6,6.0,0.25,32,11.2,0.7,3.933760042151846e-07,9.606235202141988e-05,0.09836910577244717,1.0
1.6,1.0,2.6,7.0,0.25,32,12.2,0.75,2.1733116528643848e-07,2.9640159393440335e-05,0.030587199541805,1.1
1.6,1.0,2.6,8.0,0.25,32,13.2,0.8,2.1810077035500086e-06,0.00016383764849414728,0.030166639458981903,1.4
1.6,1.0,2.6,9.0,0.25,32,14.2,0.8,1.1822183809684361e-06,8.960311304295754e-05,0.010806960579765601,1.6
1.6,1.0,2.6,10.0,0.25,32,15.2,0.8,3.37759170965235e-07,1.7960284542262173e-05,0.010659381537720058,1.7
1.6,1.2,2.8,3.0,0.25,30,8.6,0.35,1.6415125198676606e-05,0.0025371198868799905,0.458902913221362,0.6
1.6,1.2,2.8,4.0,0.25,30,9.6,0.55,6.692090577242737e-07,0.00022473221145213884,0.11045717914711828,0.7
1.6,1.2,2.8,5.0,0.25,30,10.6,0.65,3.847877658724741e-07,0.0001335696372253281,0.10511236753760711,0.8
1.6,1.2,2.8,6.0,0.25,30,11.6,0.75,1.0846429578936778e-06,0.00018154716589136033,0.09972700674285795,0.9
1.6,1.2,2.8,7.0,0.25,30,12.6,0.75,2.5656254520889377e-07,9.606260538208566e-05,0.03312826126287094,1.1
1.6,1.2,2.8,8.0,0.25,30,13.6,0.75,4.375681594837033e-08,1.8136927215639531e-06,0.03187885091173426,1.3
1.6,1.2,2.8,9.0,0.25,30,14.6,0.8,1.0471009018742095e-06,7.060935217528819e-05,0.010224660754723613,1.5
1.6,1.2,2.8,10.0,0.25,30,15.6,0.85,2.099710397884813e-06,0.00022841084303837356,0.008041859509981375,1.6
1.6,1.6,3.2,3.0,0.25,26,9.4,0.35,1.8478739324034876e-05,0.003211644931712998,0.4241552697344053,0.6
1.6,1.6,3.2,4.0,0.25,26,10.4,0.5,1.1198957103886187e-06,0.0005648870819037199,0.11364966402063725,0.7
1.6,1.6,3.2,5.0,0.25,26,11.4,0.6,4.035649385780715e-07,0.00017003170253504507,0.11222693817130924,0.8
1.6,1.6,3.2,6.0,0.25,26,12.4,0.7,1.411546345364556e-07,9.034080602488004e-06,0.10576249646742797,0.9
1.6,1.6,3.2,7.0,0.25,26,13.4,0.75,1.5436427780457507e-07,3.348480716436342e-05,0.03507062969632524,1.2
1.6,1.6,3.2,8.0,0.25,26,14.4,0.75,7.823557274244664e-07,3.626428831837725e-05,0.035336323131558656,1.3
1.6,1.6,3.2,9.0,0.25,26,15.4,0.75,9.933982757504012e-07,6.405075367910129e-05,0.013686466107272421,1.4
1.6,1.6,3.2,10.0,0.25,26,16.4,0.8,1.1867034380719232e-06,0.00010139076500137456,0.012485520313785248,1.6
1.6,2.4,4.0,3.0,0.25,21,11.0,0.25,5.752424804339462e-05,0.006153479508085979,0.43954673379874243,0.5
1.6,2.4,4.0,4.0,0.25,21,12.0,0.45,4.584843156685281e-06,0.0015286466740864757,0.12757933506910213,0.6
1.6,2.4,4.0,5.0,0.25,21,13.0,0.55,8.868856362642674e-07,0.0005099036294227144,0.12859746214616719,0.9
1.6,2.4,4.0,6.0,0.25,21,14.0,0.65,2.766549170862831e-07,9.650464066535136e-06,0.11712819118713824,0.9
1.6,2.4,4.0,7.0,0.25,21,15.0,0.7,3.0352606039674157e-07,9.409149494121749e-05,0.04205813376334433,1.0
1.6,2.4,4.0,8.0,0.25,21,16.0,0.75,9.947789202380264e-07,4.933178309463049e-05,0.045012062078489734,1.1
1.6,2.4,4.0,9.0,0.25,21,17.0,0.75,1.0941587853530166e-06,6.193059319903327e-05,0.023005519242719208,1.2
1.6,2.4,4.0,10.0,0.25,21,18.0,0.8,1.3060019066202244e-06,0.00012206323557417686,0.017374579465878837,1.3
2.4,0.4,2.8,3.0,0.2,30,8.6,0.25,2.1961084869737135e-05,0.00418546361577854,0.46055457059366156,0.7
2.4,0.4,2.8,4.0,0.2,30,9.6,0.5,1.4880320331478458e-06,0.000971981313356185,0.4386574104331351,0.9
2.4,0.4,2.8,5.0,0.2,30,10.6,0.6,4.47822212645832e-08,0.0002546396312328447,0.42543706121656166,1.2
2.4,0.4,2.8,6.0,0.2,30,11.6,0.65,4.4194032977618036e-07,2.0160342086850136e-05,0.16018734247609356,1.5
2.4,0.4,2.8,7.0,0.2,30,12.6,0.75,5.063120773751706e-07,2.9745458559604643e-05,0.15350725212863137,1.9
2.4,0.4,2.8,8.0,0.2,30,13.6,0.75,5.3426392676581e-07,5.085375936564329e-05,0.0585826007736594,2.1
2.4,0.4,2.8,9.0,0.2,30,14.6,0.8,5.882136757673351e-07,7.375294657396836e-05,0.0531675019303024,2.4
2.4,0.4,2.8,10.0,0.2,30,15.6,0.85,6.864010790863517e-07,9.947647809893656e-05,0.016757990800360556,2.7
2.4,0.5,2.9,3.0,0.25,29,8.8,0.25,4.316749287025523e-05,0.006499641377385235,0.968498518105223,0.4
2.4,0.5,2.9,4.0,0.25,29,9.8,0.45,2.6052748871574494e-06,0.0010407206862772522,0.2553324913148671,0.5
2.4,0.5,2.9,5.0,0.25,29,10.8,0.6,8.861744962285201e-07,7.057727483217313e-05,0.24527379587663334,0.6
2.4,0.5,2.9,6.0,0.25,29,11.8,0.6,5.677899634903838e-07,0.00024573503671820873,0.24935236314569553,0.8
2.4,0.5,2.9,7.0,0.25,29,12.8,0.7,4.796399988293842e-07,0.00012172367851071009,0.08198264582495063,0.9
2.4,0.5,2.9,8.0,0.25,29,13.8,0.7,3.694484191907321e-07,9.55370077533324e-05,0.08649520714497783,1.0
2.4,0.5,2.9,9.0,0.25,29,14.8,0.75,1.3197355654970266e-06,0.00011625631781364554,0.032698187304989634,1.4
2.4,0.5,2.9,10.0,0.25,29,15.8,0.8,1.462413789066197e-06,0.0001516119748278255,0.03142584167074003,1.5
2.4,0.8,3.2,3.0,0.25,26,9.4,0.25,3.609470306575879e-05,0.0074665816622236925,0.9716787359532648,0.5
2.4,0.8,3.2,4.0,0.25,26,10.4,0.5,4.6706710904453885e-06,0.0005567840301019533,0.26173596980450786,0.5
2.4,0.8,3.2,5.0,0.25,26,11.4,0.6,3.142290403435055e-07,0.00011144974486065884,0.25817779096034377,0.6
2.4,0.8,3.2,6.0,0.25,26,12.4,0.65,1.315264430479246e-06,0.00017783416546857111,0.25187147296804735,0.8
2.4,0.8,3.2,7.0,0.25,26,13.4,0.65,1.6956933457379364e-06,0.0003830557050525929,0.09085914382274907,0.8
2.4,0.8,3.2,8.0,0.25,26,14.4,0.7,2.250629764777301e-07,1.4258407287748298e-05,0.09223235934082585,1.2
2.4,0.8,3.2,9.0,0.25,26,15.4,0.75,5.913595987894205e-06,0.0005353560660965595,0.036586118047071015,1.3
2.4,0.8,3.2,10.0,0.25,26,16.4,0.65,4.938463184500641e-06,0.0005656813206043054,0.03829905391494859,1.4
2.4,1.0,3.4,3.0,0.25,25,9.8,0.25,7.449515730417744e-05,0.010295935535735934,0.9950481654220862,0.5
2.4,1.0,3.4,4.0,0.25,25,10.8,0.45,2.0620208238675275e-06,0.0017359753980985548,0.28491694666864675,0.6
2.4,1.0,3.4,5.0,0.25,25,11.8,0.5,5.66971699367258e-07,0.0005159645501446875,0.28165000139237195,0.7
2.4,1.0,3.4,6.0,0.25,25,12.8,0.6,7.248823152838924e-07,0.00034150805719845856,0.2788353771257994,0.7
2.4,1.0,3.4,7.0,0.25,25,13.8,0.65,9.121441829629262e-07,0.0001587370432177826,0.10202523654398554,1.0
2.4,1.0,3.4,8.0,0.25,25,14.8,0.7,6.149892601836626e-07,1.2827643713464454e-05,0.09836563196090853,1.1
2.4,1.0,3.4,9.0,0.25,25,15.8,0.75,6.290972887068591e-07,0.00011446610607812602,0.03632616428062052,1.3
2.4,1.0,3.4,10.0,0.25,25,16.8,0.7,9.259937627792425e-07,0.0001409104888827617,0.026997368466864957,1.5
2.4,1.2,3.5999999999999996,3.0,0.25,24,10.2,0.2,0.00011257963368715984,0.012948189576308833,1.0018636276241177,0.5
2.4,1.2,3.5999999999999996,4.0,0.25,24,11.2,0.4,8.99157095379799e-06,0.002916658919123183,0.2979055577215086,0.6
2.4,1.2,3.5999999999999996,5.0,0.25,24,12.2,0.5,5.59637594266249e-07,0.0005918064749030894,0.286786628901053,0.7
2.4,1.2,3.5999999999999996,6.0,0.25,24,13.2,0.6,8.710096959241298e-07,0.00023917416482888143,0.2742111698908265,0.8
2.4,1.2,3.5999999999999996,7.0,0.25,24,14.2,0.7,3.085640523092792e-07,9.342475740581335e-06,0.09627946811178867,1.1
2.4,1.2,3.5999999999999996,8.0,0.25,24,15.2,0.75,1.1779133930467367e-06,9.215352594038606e-05,0.0935033737345361,1.2
2.4,1.2,3.5999999999999996,9.0,0.25,24,16.2,0.75,3.236803192918636e-06,0.0002843705120587625,0.041010234025465664,1.4
2.4,1.2,3.5999999999999996,10.0,0.25,24,17.2,0.75,2.76258683051811e-06,0.0002839847440008203,0.046450509914110594,1.5
2.4,1.6,4.0,3.0,0.25,21,11.0,0.2,0.00019130375103482145,0.017991071011683957,1.0420236177527276,0.5
2.4,1.6,4.0,4.0,0.25,21,12.0,0.4,1.0103688630191954e-05,0.003747129275732064,0.30913109734409816,0.5
2.4,1.6,4.0,5.0,0.25,21,13.0,0.5,3.504312778845886e-07,0.0006206436169522433,0.29396250744048524,0.6
2.4,1.6,4.0,6.0,0.25,21,14.0,0.6,1.4372262036044248e-07,0.000162671655381752,0.2888071640430876,0.8
2.4,1.6,4.0,7.0,0.25,21,15.0,0.65,1.615748803640571e-07,5.13233806493929e-05,0.11916862907697312,0.9
2.4,1.6,4.0,8.0,0.25,21,16.0,0.7,9.161789203959714e-07,5.1280412032395084e-05,0.11166718802556219,1.0
2.4,1.6,4.0,9.0,0.25,21,17.0,0.75,1.0182708070072266e-06,8.950291695131174e-05,0.04660389692171596,1.2
2.4,1.6,4.0,10.0,0.25,21,18.0,0.75,1.1783201695481083e-06,0.00010566947915946479,0.04881104481652154,1.3
2.4,2.4,4.8,3.0,0.25,18,12.6,0.1,0.00029971022547914394,0.02233363130772159,0.9318027645282188,0.5
2.4,2.4,4.8,4.0,0.25,18,13.6,0.25,2.788462642433487e-05,0.006401598786277551,0.29538302261755955,0.6
2.4,2.4,4.8,5.0,0.25,18,14.6,0.4,2.6306768194928054e-06,0.001879059274425554,0.28791102730938345,0.8
2.4,2.4,4.8,6.0,0.25,18,15.6,0.55,3.05636904895934e-07,0.00046851057747421265,0.2698522487283723,0.9
2.4,2.4,4.8,7.0,0.25,18,16.6,0.55,1.1950004754623933e-06,0.00042519776617533367,0.11458730654711147,1.0
2.4,2.4,4.8,8.0,0.25,18,17.6,0.6,2.000187980799595e-06,0.00019100366617386122,0.11195281163279192,1.1
2.4,2.4,4.8,9.0,0.25,18,18.6,0.7,7.994694968260774e-07,0.00011352890351346012,0.053031583289764095,1.1
2.4,2.4,4.8,10.0,0.25,18,19.6,0.7,1.3813848063204404e-06,6.795406691240125e-05,0.05749680777562083,1.3
