ion,fate,tof_us,x_end,y_end,ke_last,t26,y26,t59,y59
162,thru,1044.268238863269,83.62499999999999,-7.594272250044511,0.05364710432640609,262.94044475517194,0.4493450075766202,736.0496448493816,3.1585338999822046
163,thru,1093.755608920593,80.1396774852503,5.170099001772339,0.10073239707272935,315.67254064176444,2.6802332585295763,749.401950878266,0.4063072266479813
164,thru,948.2136609102412,67.875,4.358724992332464,0.026958026358215172,330.65944626211234,2.699264052301919,814.883052098557,3.627408208959084
165,thru,1158.0831695487411,83.62499999999999,-6.987065729418289,0.03287362295010047,274.2872334702674,2.3707387405541773,759.5490134838311,2.476311444740803
166,wall,514.1318642088828,43.875,3.5324043817338606,0.08199856375206872,262.74074925546097,2.615590516260726,,
167,thru,782.4635492677658,61.875,-1.8917719243246112,0.05247489109629743,255.43848435331455,2.269187328915221,712.4950189693991,3.31682090450498
168,thru,925.7646356880026,80.26981131645597,-2.2788998596138548,0.05790485470062973,225.5215352006668,3.345074055582193,669.4732615494702,0.6129569567085461
169,thru,1223.7813684721689,83.62499999999999,8.56092312677184,0.1353414085239789,267.09926077766835,2.6439457740383108,714.9930059849645,2.395535958394071
170,thru,1561.1156525339213,83.62499999999999,-11.59067455196492,0.05989148669624345,259.4316794806619,0.6815394280977634,682.6244277026833,3.4711004229716726
171,thru,1155.4907954298978,82.875,5.210864492558061,0.053683647481085395,271.4962741805636,1.6957101265510366,819.0681387840679,1.0514671818827
172,wall,646.198161879122,56.55824613925057,7.34382246743206,0.09625586550094335,288.6503718878933,2.9792449728661556,,
173,thru,1214.2470873685163,82.875,-7.643006627362526,0.02395605047448408,338.61039254869075,0.565928753158475,827.2416644097381,3.776960837683131
174,wall,520.2572961045032,47.61628178421586,2.802595191181691,0.021864809422388196,226.93916265997913,1.5536444953422022,,
175,thru,853.9142899221016,68.19973513943847,6.0357116756559,0.007940611917881656,274.1784345296995,0.5192620451945369,747.0713701715956,3.3813770320419465
176,thru,1187.6319225380767,83.36070778603872,-7.865105893987341,0.09240308385355663,293.42583578857125,1.103174888500644,784.7159281015088,2.0277251362192046
177,thru,1076.2052293538716,83.56394576883424,-6.724133893473591,0.08111910101690711,232.89662523122334,2.20950711376162,658.4004507701842,1.7201534075084153
178,thru,1264.3455730947755,83.62499999999999,1.458250494919488,0.13159057458733175,288.8119579996524,0.6598391334712173,788.1860014803492,1.5910612890008278
