ion,fate,tof_us,x_end,y_end,ke_last,t26,y26,t59,y59
210,thru,1048.2438869548746,82.875,-5.74035033539099,0.11153518123777263,306.2803643463917,0.7226961265509706,763.5393192044172,1.294276499291348
211,thru,1240.9918869479407,83.46746345144771,5.586955044080271,0.05080619186596018,222.74177320479012,2.0131467246030046,662.9852107496524,2.9218047663304416
212,thru,1440.9192323441753,83.62499999999999,5.711125273744691,0.027743715951813873,290.32426270915767,4.2632852389492175,643.9806937620301,4.162517645271322
213,wall,615.9575110320624,49.875,-2.3519742194438855,0.05947619432389162,265.3680828529768,1.301248022097682,,
214,wall,502.2601220611005,44.60867959935063,6.982049126707835,0.2075944867470991,257.71637462273196,4.126898256196319,,
215,thru,1600.6691930461288,87.1558332066835,9.968517573018213,0.016939348878126252,297.2563995990174,0.8984053192233366,750.8748630903887,0.840045263930491
216,thru,1060.9454341912797,83.28405665490395,-6.295991611198907,0.031096280373938672,265.9737547438175,0.0426029981302677,714.3439599139849,0.8741163585677458
217,thru,1137.171325455646,82.875,7.797704558592497,0.060224506649872354,251.60149098508919,0.7829823582688001,806.1714748586404,5.535056588314621
218,thru,1123.431698479448,83.62499999999999,-5.298173954185856,0.12381618724584435,329.7459835074259,0.4248976717049361,739.9322859615702,4.525107001254222
219,thru,1093.7482603202277,83.45407862512525,-2.7077185295437967,0.07153832537842769,285.2470966054002,0.467315412707427,679.966996220203,4.1516704781834495
220,thru,1348.2786149555557,83.62499999999999,8.301229521946269,0.019901562526180416,253.4939141734859,0.02519870785666326,669.299871821247,1.9236367586286602
221,thru,1336.9795106181953,83.62499999999999,-8.165421498930504,0.025738116441107958,254.18522970289249,0.24767892813319559,727.2080900352977,0.49296458483163
222,thru,1061.0976655455315,82.875,10.143580040258888,0.06410525588306862,246.73622456604286,2.8019799786348627,707.6827331738837,4.29484742395495
223,wall,670.2952957442642,49.875,-2.079875323716879,0.128811203984269,287.4787160543141,1.1459788661104318,,
224,thru,924.9272530954197,71.4061621117571,-5.048537718708439,0.04732804756138504,296.9759823549493,1.4684569667966698,748.0325658141103,2.1793642449275845
225,thru,1201.764825554085,83.62499999999999,-1.47772776322796,0.12553391111090642,228.83032202258389,1.0383157647278816,723.7744684794002,2.4277870879681664
